p,propLabel,eff
http://www.wikidata.org/prop/direct/P3579,Weibo user ID,5
http://www.wikidata.org/prop/direct/P6706,De Agostini ID,5
http://www.wikidata.org/prop/direct/P8179,Canadiana Name Authority ID,5
http://www.wikidata.org/prop/direct/P9743,Podchaser creator ID,5
http://www.wikidata.org/prop/direct/P271,NACSIS-CAT author ID,4
http://www.wikidata.org/prop/direct/P1015,NORAF ID,4
http://www.wikidata.org/prop/direct/P1185,Rodovid ID,4
http://www.wikidata.org/prop/direct/P1273,CANTIC ID (former scheme),4
http://www.wikidata.org/prop/direct/P1315,NLA Trove people ID,4
http://www.wikidata.org/prop/direct/P1830,owner of,4
http://www.wikidata.org/prop/direct/P1953,Discogs artist ID,4
http://www.wikidata.org/prop/direct/P3284,Yahoo! JAPAN Talent Database ID,4
http://www.wikidata.org/prop/direct/P3477,Nihon Tarento Meikan ID,4
http://www.wikidata.org/prop/direct/P3846,DBC author ID,4
http://www.wikidata.org/prop/direct/P4789,Who's Who UK ID,4
http://www.wikidata.org/prop/direct/P6621,Le Figaro tag ID,4
http://www.wikidata.org/prop/direct/P6682,Motorsports Hall of Fame of America ID,4
http://www.wikidata.org/prop/direct/P6900,NicoNicoPedia ID,4
http://www.wikidata.org/prop/direct/P8349,Proleksis enciklopedija ID,4
http://www.wikidata.org/prop/direct/P8672,X topic ID,4
http://www.wikidata.org/prop/direct/P9368,CNA topic ID,4
http://www.wikidata.org/prop/direct/P10826,Talent Data Bank ID,4
http://www.wikidata.org/prop/direct/P11496,CiNii Research ID,4
http://www.wikidata.org/prop/direct/P12800,Vikidia article ID,4
http://www.wikidata.org/prop/direct/P53,family,3
http://www.wikidata.org/prop/direct/P648,Open Library ID,3
http://www.wikidata.org/prop/direct/P793,significant event,3
http://www.wikidata.org/prop/direct/P1258,Rotten Tomatoes ID,3
http://www.wikidata.org/prop/direct/P1280,CONOR.SI ID,3
http://www.wikidata.org/prop/direct/P1303,instrument,3
http://www.wikidata.org/prop/direct/P2032,work period (end),3
http://www.wikidata.org/prop/direct/P3065,RERO ID (legacy),3
http://www.wikidata.org/prop/direct/P3280,BAnQ authority ID,3
http://www.wikidata.org/prop/direct/P3509,Dagens Nyheter topic ID,3
http://www.wikidata.org/prop/direct/P3630,Babelio author ID,3
http://www.wikidata.org/prop/direct/P4638,The Peerage person ID,3
http://www.wikidata.org/prop/direct/P5008,on focus list of Wikimedia project,3
http://www.wikidata.org/prop/direct/P5337,Google News topics ID,3
http://www.wikidata.org/prop/direct/P5395,Canadian Encyclopedia article ID,3
http://www.wikidata.org/prop/direct/P5797,Twitch username,3
http://www.wikidata.org/prop/direct/P5254,FilmTv.it person ID,3
http://www.wikidata.org/prop/direct/P6424,affiliation string,3
http://www.wikidata.org/prop/direct/P6886,writing language,3
http://www.wikidata.org/prop/direct/P8017,generational suffix,3
http://www.wikidata.org/prop/direct/P8189,J9U ID,3
